,New Churn Category
154,IS NULL
155,Competitor
156,IS NULL
157,Client service
158,IS NULL
159,Competitor
160,Competitor
161,IS NULL
162,IS NULL
163,Client service
164,IS NULL
165,IS NULL
166,IS NULL
167,Client service
168,IS NULL
169,IS NULL
170,IS NULL
171,IS NULL
172,IS NULL
173,Client service
174,Competitor
175,IS NULL
176,IS NULL
177,IS NULL
178,IS NULL
179,IS NULL
180,Competitor
181,IS NULL
182,IS NULL
183,IS NULL
184,IS NULL
185,IS NULL
186,Competitor
187,IS NULL
188,IS NULL
189,IS NULL
190,Competitor
191,IS NULL
192,IS NULL
193,IS NULL
194,Product quality
195,IS NULL
196,IS NULL
197,IS NULL
198,Product quality
199,IS NULL
200,IS NULL
201,Competitor
202,IS NULL
203,IS NULL
204,IS NULL
205,Other
206,Competitor
207,Client service
208,IS NULL
209,Competitor
210,Competitor
211,IS NULL
212,IS NULL
213,Competitor
214,Price
215,IS NULL
216,Client service
217,Competitor
218,IS NULL
219,IS NULL
220,IS NULL
221,Price
222,IS NULL
223,Other
224,IS NULL
225,IS NULL
226,Competitor
227,IS NULL
228,Other
229,IS NULL
230,IS NULL
231,IS NULL
232,IS NULL
233,IS NULL
234,Client service
235,Client service
236,IS NULL
237,IS NULL
238,IS NULL
239,IS NULL
240,IS NULL
241,IS NULL
242,IS NULL
243,IS NULL
244,IS NULL
245,IS NULL
246,Other
247,IS NULL
248,Competitor
249,IS NULL
250,IS NULL
251,Other
252,Competitor
253,Product quality
254,IS NULL
255,IS NULL
256,IS NULL
257,IS NULL
258,IS NULL
259,IS NULL
260,IS NULL
261,Client service
262,Other
263,IS NULL
264,IS NULL
265,IS NULL
266,IS NULL
267,IS NULL
268,Price
269,IS NULL
270,IS NULL
271,Product quality
272,IS NULL
273,IS NULL
274,Product quality
275,Price
276,Product quality
277,IS NULL
278,IS NULL
279,IS NULL
280,IS NULL
281,Client service
282,IS NULL
283,Client service
284,IS NULL
285,IS NULL
286,IS NULL
287,IS NULL
288,IS NULL
289,Product quality
290,IS NULL
291,IS NULL
292,IS NULL
293,Client service
294,IS NULL
295,IS NULL
296,IS NULL
297,IS NULL
298,IS NULL
299,IS NULL
300,IS NULL
301,IS NULL
302,IS NULL
303,IS NULL
304,Price
305,IS NULL
306,IS NULL
307,IS NULL
308,IS NULL
309,IS NULL
310,IS NULL
311,Client service
312,IS NULL
313,IS NULL
314,IS NULL
315,IS NULL
316,IS NULL
317,IS NULL
318,Competitor
319,Price
320,IS NULL
321,IS NULL
322,IS NULL
323,IS NULL
324,IS NULL
325,IS NULL
326,IS NULL
327,Price
328,IS NULL
329,IS NULL
330,IS NULL
331,IS NULL
332,Product quality
333,IS NULL
334,IS NULL
335,Client service
336,Competitor
337,IS NULL
338,Other
339,IS NULL
340,Competitor
341,IS NULL
342,IS NULL
343,IS NULL
344,Competitor
345,IS NULL
346,IS NULL
347,Competitor
348,IS NULL
349,IS NULL
350,IS NULL
351,Client service
352,Product quality
353,IS NULL
354,Product quality
355,Price
356,IS NULL
357,Other
358,IS NULL
359,Client service
360,IS NULL
361,IS NULL
362,IS NULL
363,Competitor
364,IS NULL
365,IS NULL
366,IS NULL
367,IS NULL
368,IS NULL
369,IS NULL
370,IS NULL
371,IS NULL
372,IS NULL
373,IS NULL
374,IS NULL
375,IS NULL
376,IS NULL
377,IS NULL
378,IS NULL
379,Product quality
380,IS NULL
381,Competitor
382,IS NULL
383,IS NULL
384,IS NULL
385,Other
386,IS NULL
387,IS NULL
388,IS NULL
389,Product quality
390,IS NULL
391,Competitor
392,IS NULL
393,IS NULL
394,IS NULL
395,IS NULL
396,IS NULL
397,IS NULL
398,Competitor
399,IS NULL
400,IS NULL
401,Competitor
402,IS NULL
403,Client service
404,IS NULL
405,IS NULL
406,IS NULL
407,IS NULL
408,Price
409,IS NULL
410,IS NULL
411,Product quality
412,Price
413,IS NULL
414,Competitor
415,Competitor
416,Price
417,Price
418,IS NULL
419,IS NULL
420,IS NULL
421,IS NULL
422,IS NULL
423,IS NULL
424,IS NULL
425,Client service
426,IS NULL
427,IS NULL
428,Competitor
429,IS NULL
430,IS NULL
431,Other
432,Competitor
433,IS NULL
434,Other
435,Competitor
436,Client service
437,Competitor
438,IS NULL
439,IS NULL
440,Product quality
441,IS NULL
442,IS NULL
443,Client service
444,IS NULL
445,Competitor
446,IS NULL
447,IS NULL
448,IS NULL
449,IS NULL
450,IS NULL
451,Competitor
452,IS NULL
453,IS NULL
454,IS NULL
455,IS NULL
456,IS NULL
457,IS NULL
458,IS NULL
459,IS NULL
460,IS NULL
461,IS NULL
462,IS NULL
463,IS NULL
464,Competitor
465,IS NULL
466,Competitor
467,IS NULL
468,Product quality
469,Price
470,Competitor
471,IS NULL
472,Client service
473,IS NULL
474,Competitor
475,Competitor
476,IS NULL
477,IS NULL
478,Product quality
479,IS NULL
480,IS NULL
481,IS NULL
482,Competitor
483,IS NULL
484,IS NULL
485,IS NULL
486,IS NULL
487,Competitor
488,IS NULL
489,Competitor
490,IS NULL
491,Price
492,Other
493,IS NULL
494,IS NULL
495,IS NULL
496,Competitor
497,IS NULL
498,Price
499,IS NULL
500,IS NULL
501,IS NULL
502,IS NULL
503,Competitor
504,IS NULL
505,IS NULL
506,IS NULL
507,Competitor
508,Competitor
509,IS NULL
510,IS NULL
511,IS NULL
512,IS NULL
513,Product quality
514,Price
515,IS NULL
516,IS NULL
517,IS NULL
518,IS NULL
519,Competitor
520,IS NULL
521,IS NULL
522,Client service
523,IS NULL
524,IS NULL
525,IS NULL
526,Competitor
527,IS NULL
528,IS NULL
529,Competitor
530,IS NULL
531,Competitor
532,IS NULL
533,IS NULL
534,IS NULL
535,Competitor
536,IS NULL
537,IS NULL
538,IS NULL
539,IS NULL
540,IS NULL
541,IS NULL
542,IS NULL
543,IS NULL
544,IS NULL
545,IS NULL
546,Competitor
547,IS NULL
548,IS NULL
549,IS NULL
550,Price
551,IS NULL
552,IS NULL
553,IS NULL
554,IS NULL
555,Competitor
556,IS NULL
557,Competitor
558,IS NULL
559,Competitor
560,IS NULL
561,IS NULL
562,IS NULL
563,IS NULL
564,IS NULL
565,IS NULL
566,IS NULL
567,IS NULL
568,Competitor
569,IS NULL
570,IS NULL
571,IS NULL
572,IS NULL
573,Other
574,IS NULL
575,Other
576,IS NULL
577,IS NULL
578,IS NULL
579,IS NULL
580,IS NULL
581,IS NULL
582,IS NULL
583,IS NULL
584,IS NULL
585,IS NULL
586,IS NULL
587,Client service
588,IS NULL
589,Price
590,IS NULL
591,IS NULL
592,Competitor
593,IS NULL
594,Competitor
595,IS NULL
596,IS NULL
597,Competitor
598,Client service
599,Price
600,Competitor
601,IS NULL
602,Competitor
603,Product quality
604,IS NULL
605,Client service
606,Competitor
607,IS NULL
608,Competitor
609,IS NULL
610,IS NULL
611,IS NULL
612,Product quality
613,IS NULL
614,IS NULL
615,IS NULL
616,IS NULL
617,IS NULL
618,IS NULL
619,IS NULL
620,IS NULL
621,IS NULL
622,IS NULL
623,IS NULL
624,IS NULL
625,Price
626,IS NULL
627,Client service
628,IS NULL
629,Client service
630,IS NULL
631,Competitor
632,IS NULL
633,IS NULL
634,IS NULL
635,IS NULL
636,IS NULL
637,IS NULL
638,IS NULL
639,IS NULL
640,IS NULL
641,Competitor
642,Competitor
643,IS NULL
644,IS NULL
645,IS NULL
646,Competitor
647,IS NULL
648,Competitor
649,Competitor
650,Price
651,IS NULL
652,IS NULL
653,IS NULL
654,IS NULL
655,IS NULL
656,IS NULL
657,IS NULL
658,IS NULL
659,Client service
660,IS NULL
661,Competitor
662,IS NULL
663,Competitor
664,IS NULL
665,IS NULL
666,IS NULL
667,IS NULL
668,IS NULL
669,IS NULL
670,Competitor
671,IS NULL
672,IS NULL
673,IS NULL
674,IS NULL
675,IS NULL
676,Other
677,IS NULL
678,IS NULL
679,IS NULL
680,Competitor
681,IS NULL
682,Client service
683,Competitor
684,IS NULL
685,IS NULL
686,IS NULL
687,IS NULL
688,IS NULL
689,IS NULL
690,IS NULL
691,IS NULL
692,Product quality
693,IS NULL
694,Competitor
695,IS NULL
696,IS NULL
697,IS NULL
698,Competitor
699,Product quality
700,IS NULL
701,IS NULL
702,IS NULL
703,IS NULL
704,Client service
705,Client service
706,IS NULL
707,IS NULL
708,Product quality
709,IS NULL
710,IS NULL
711,IS NULL
712,IS NULL
713,IS NULL
714,IS NULL
715,IS NULL
716,IS NULL
717,IS NULL
718,IS NULL
719,IS NULL
720,Competitor
721,IS NULL
722,IS NULL
723,Competitor
724,IS NULL
725,Competitor
726,IS NULL
727,IS NULL
728,IS NULL
729,Client service
730,IS NULL
731,IS NULL
732,IS NULL
733,IS NULL
734,Client service
735,IS NULL
736,Other
737,IS NULL
738,Client service
739,IS NULL
740,IS NULL
741,IS NULL
742,IS NULL
743,IS NULL
744,IS NULL
745,IS NULL
746,Competitor
747,IS NULL
748,IS NULL
749,IS NULL
750,Competitor
751,IS NULL
752,IS NULL
753,IS NULL
754,IS NULL
755,IS NULL
756,IS NULL
757,IS NULL
758,IS NULL
759,IS NULL
760,IS NULL
761,IS NULL
762,IS NULL
763,IS NULL
764,Product quality
765,Competitor
766,Other
767,IS NULL
768,IS NULL
769,Other
770,IS NULL
771,Competitor
772,IS NULL
773,IS NULL
774,IS NULL
775,IS NULL
776,IS NULL
777,IS NULL
778,IS NULL
779,IS NULL
780,IS NULL
781,IS NULL
782,IS NULL
783,IS NULL
784,IS NULL
785,IS NULL
786,Other
787,Client service
788,IS NULL
789,Competitor
790,IS NULL
791,IS NULL
792,IS NULL
793,Competitor
794,IS NULL
795,IS NULL
796,IS NULL
797,IS NULL
798,IS NULL
799,IS NULL
800,IS NULL
801,IS NULL
802,IS NULL
803,IS NULL
804,IS NULL
805,IS NULL
806,IS NULL
807,IS NULL
808,IS NULL
809,IS NULL
810,IS NULL
811,IS NULL
812,Competitor
813,IS NULL
814,Competitor
815,IS NULL
816,IS NULL
817,IS NULL
818,Client service
819,Competitor
820,IS NULL
821,IS NULL
822,IS NULL
823,Other
824,IS NULL
825,IS NULL
826,Other
827,IS NULL
828,IS NULL
829,IS NULL
830,Product quality
831,IS NULL
832,IS NULL
833,IS NULL
834,IS NULL
835,IS NULL
836,IS NULL
837,Competitor
838,IS NULL
839,IS NULL
840,IS NULL
841,IS NULL
842,IS NULL
843,IS NULL
844,IS NULL
845,Product quality
846,IS NULL
847,Price
848,IS NULL
849,IS NULL
850,IS NULL
851,IS NULL
852,Competitor
853,IS NULL
854,IS NULL
855,Price
856,IS NULL
857,IS NULL
858,IS NULL
859,IS NULL
860,IS NULL
861,Price
862,IS NULL
863,Competitor
864,IS NULL
865,IS NULL
866,Price
867,IS NULL
868,Competitor
869,Competitor
870,IS NULL
871,IS NULL
872,IS NULL
873,Client service
874,IS NULL
875,IS NULL
876,Product quality
877,IS NULL
878,IS NULL
879,Competitor
880,IS NULL
881,IS NULL
882,Other
883,IS NULL
884,Client service
885,IS NULL
886,IS NULL
887,IS NULL
888,IS NULL
889,IS NULL
890,IS NULL
891,IS NULL
892,IS NULL
893,IS NULL
894,IS NULL
895,IS NULL
896,Competitor
897,IS NULL
898,IS NULL
899,IS NULL
900,IS NULL
901,Price
902,IS NULL
903,IS NULL
904,IS NULL
905,IS NULL
906,Client service
907,IS NULL
908,Product quality
909,Price
910,Other
911,IS NULL
912,IS NULL
913,IS NULL
914,IS NULL
915,Product quality
916,IS NULL
917,IS NULL
918,IS NULL
919,IS NULL
920,IS NULL
921,IS NULL
922,IS NULL
923,Other
924,Competitor
925,IS NULL
926,IS NULL
927,IS NULL
928,IS NULL
929,IS NULL
930,Client service
931,IS NULL
932,IS NULL
933,IS NULL
934,IS NULL
935,IS NULL
936,IS NULL
937,IS NULL
938,IS NULL
939,IS NULL
940,IS NULL
941,IS NULL
942,IS NULL
943,Competitor
944,IS NULL
945,IS NULL
946,IS NULL
947,IS NULL
948,Competitor
949,Competitor
950,IS NULL
951,IS NULL
952,Other
953,IS NULL
954,IS NULL
955,IS NULL
956,Competitor
957,IS NULL
958,IS NULL
959,IS NULL
960,IS NULL
961,IS NULL
962,IS NULL
963,Product quality
964,IS NULL
965,IS NULL
966,IS NULL
967,Client service
968,IS NULL
969,IS NULL
970,IS NULL
971,IS NULL
972,IS NULL
973,IS NULL
974,IS NULL
975,IS NULL
976,IS NULL
977,IS NULL
978,Competitor
979,IS NULL
980,IS NULL
981,IS NULL
982,IS NULL
983,Price
984,IS NULL
985,IS NULL
986,IS NULL
987,IS NULL
988,IS NULL
989,Product quality
990,IS NULL
991,IS NULL
992,IS NULL
993,IS NULL
994,Product quality
995,Competitor
996,Competitor
997,IS NULL
998,Competitor
999,Price
1000,Competitor
1001,Client service
1002,IS NULL
1003,IS NULL
1004,IS NULL
1005,IS NULL
1006,IS NULL
1007,Other
1008,IS NULL
1009,Product quality
1010,IS NULL
1011,IS NULL
1012,IS NULL
1013,IS NULL
1014,Competitor
1015,IS NULL
1016,IS NULL
1017,IS NULL
1018,IS NULL
1019,IS NULL
1020,IS NULL
1021,IS NULL
1022,IS NULL
1023,IS NULL
1024,IS NULL
1025,IS NULL
1026,Product quality
1027,IS NULL
1028,IS NULL
1029,IS NULL
1030,IS NULL
1031,IS NULL
1032,IS NULL
1033,Price
1034,IS NULL
1035,Client service
1036,IS NULL
1037,IS NULL
1038,Competitor
1039,Competitor
1040,IS NULL
1041,IS NULL
1042,Product quality
1043,IS NULL
1044,Competitor
1045,Client service
1046,IS NULL
1047,Competitor
1048,IS NULL
1049,IS NULL
1050,IS NULL
1051,IS NULL
1052,IS NULL
1053,IS NULL
1054,Other
1055,IS NULL
1056,IS NULL
1057,IS NULL
1058,IS NULL
1059,IS NULL
1060,IS NULL
1061,IS NULL
1062,Product quality
1063,IS NULL
1064,IS NULL
1065,IS NULL
1066,Price
1067,IS NULL
1068,IS NULL
1069,IS NULL
1070,IS NULL
1071,IS NULL
1072,IS NULL
1073,Client service
1074,Competitor
1075,Product quality
1076,IS NULL
1077,IS NULL
1078,Other
1079,Competitor
1080,IS NULL
1081,IS NULL
1082,IS NULL
1083,IS NULL
1084,Client service
1085,Competitor
1086,IS NULL
1087,Competitor
1088,Client service
1089,Product quality
1090,Competitor
1091,Other
1092,IS NULL
1093,Client service
1094,IS NULL
1095,Client service
1096,IS NULL
1097,Price
1098,Price
1099,IS NULL
1100,IS NULL
1101,IS NULL
1102,Competitor
1103,IS NULL
1104,Client service
1105,IS NULL
1106,Other
1107,IS NULL
1108,IS NULL
1109,IS NULL
1110,Competitor
1111,Other
1112,Competitor
1113,Product quality
1114,Competitor
1115,IS NULL
1116,IS NULL
1117,IS NULL
1118,IS NULL
1119,IS NULL
1120,IS NULL
1121,IS NULL
1122,IS NULL
1123,IS NULL
1124,IS NULL
1125,IS NULL
1126,Client service
1127,IS NULL
1128,IS NULL
1129,Competitor
1130,IS NULL
1131,IS NULL
1132,Product quality
1133,IS NULL
1134,IS NULL
1135,IS NULL
1136,IS NULL
1137,Competitor
1138,IS NULL
1139,Competitor
1140,IS NULL
1141,IS NULL
1142,IS NULL
1143,IS NULL
1144,IS NULL
1145,IS NULL
1146,IS NULL
1147,Other
1148,IS NULL
1149,IS NULL
1150,IS NULL
1151,IS NULL
1152,IS NULL
1153,IS NULL
1154,IS NULL
1155,Competitor
1156,IS NULL
1157,IS NULL
1158,IS NULL
1159,IS NULL
1160,Client service
1161,IS NULL
1162,IS NULL
1163,IS NULL
1164,IS NULL
1165,IS NULL
1166,IS NULL
1167,IS NULL
1168,Other
1169,Client service
1170,IS NULL
1171,Competitor
1172,Client service
1173,IS NULL
1174,IS NULL
1175,IS NULL
1176,IS NULL
1177,IS NULL
1178,Competitor
1179,IS NULL
1180,Competitor
1181,IS NULL
1182,IS NULL
1183,Price
1184,IS NULL
1185,IS NULL
1186,IS NULL
1187,Competitor
1188,IS NULL
1189,IS NULL
1190,IS NULL
1191,IS NULL
1192,IS NULL
1193,IS NULL
1194,IS NULL
1195,Other
1196,IS NULL
1197,IS NULL
1198,IS NULL
1199,IS NULL
1200,IS NULL
1201,IS NULL
1202,IS NULL
1203,Competitor
1204,IS NULL
1205,Price
1206,IS NULL
1207,IS NULL
1208,IS NULL
1209,IS NULL
1210,IS NULL
1211,IS NULL
1212,IS NULL
1213,IS NULL
1214,IS NULL
1215,Product quality
1216,Client service
1217,IS NULL
1218,IS NULL
1219,IS NULL
1220,Competitor
1221,IS NULL
1222,IS NULL
1223,IS NULL
1224,IS NULL
1225,IS NULL
1226,IS NULL
1227,IS NULL
1228,IS NULL
1229,IS NULL
1230,Client service
1231,IS NULL
1232,IS NULL
1233,IS NULL
1234,IS NULL
1235,IS NULL
1236,Price
1237,IS NULL
1238,IS NULL
1239,IS NULL
1240,IS NULL
1241,IS NULL
1242,IS NULL
1243,IS NULL
1244,Competitor
1245,IS NULL
1246,IS NULL
1247,IS NULL
1248,Competitor
1249,IS NULL
1250,IS NULL
1251,IS NULL
1252,IS NULL
1253,IS NULL
1254,IS NULL
1255,Price
1256,IS NULL
1257,IS NULL
1258,IS NULL
1259,Competitor
1260,IS NULL
1261,IS NULL
1262,IS NULL
1263,Competitor
1264,IS NULL
1265,Competitor
1266,IS NULL
1267,Competitor
1268,IS NULL
1269,Client service
1270,IS NULL
1271,Competitor
1272,IS NULL
1273,Competitor
1274,Competitor
1275,IS NULL
1276,IS NULL
1277,IS NULL
1278,IS NULL
1279,Other
1280,Product quality
1281,IS NULL
1282,IS NULL
1283,Competitor
1284,IS NULL
1285,IS NULL
1286,Competitor
1287,IS NULL
1288,Competitor
1289,IS NULL
1290,IS NULL
1291,IS NULL
1292,IS NULL
1293,Competitor
1294,IS NULL
1295,IS NULL
1296,IS NULL
1297,IS NULL
1298,IS NULL
1299,IS NULL
1300,IS NULL
1301,IS NULL
1302,IS NULL
1303,Price
1304,IS NULL
1305,IS NULL
1306,IS NULL
1307,IS NULL
1308,IS NULL
1309,IS NULL
1310,IS NULL
1311,IS NULL
1312,IS NULL
1313,IS NULL
1314,IS NULL
1315,IS NULL
1316,IS NULL
1317,IS NULL
1318,IS NULL
1319,Competitor
1320,Price
1321,IS NULL
1322,Competitor
1323,Competitor
1324,IS NULL
1325,IS NULL
1326,IS NULL
1327,IS NULL
1328,Competitor
1329,Competitor
1330,Competitor
1331,Competitor
1332,IS NULL
1333,Client service
1334,IS NULL
1335,IS NULL
1336,IS NULL
1337,IS NULL
1338,Competitor
1339,IS NULL
1340,IS NULL
1341,IS NULL
1342,IS NULL
1343,IS NULL
1344,IS NULL
1345,IS NULL
1346,Price
1347,Other
1348,Competitor
1349,IS NULL
1350,IS NULL
1351,Product quality
1352,Competitor
1353,Competitor
1354,IS NULL
1355,IS NULL
1356,IS NULL
1357,IS NULL
1358,IS NULL
1359,IS NULL
1360,Competitor
1361,Price
1362,Competitor
1363,IS NULL
1364,IS NULL
1365,Client service
1366,Competitor
1367,IS NULL
1368,IS NULL
1369,Client service
1370,Other
1371,Other
1372,Competitor
1373,IS NULL
1374,IS NULL
1375,IS NULL
1376,IS NULL
1377,IS NULL
1378,IS NULL
1379,IS NULL
1380,IS NULL
1381,IS NULL
1382,IS NULL
1383,IS NULL
1384,IS NULL
1385,IS NULL
1386,IS NULL
1387,IS NULL
1388,Other
1389,IS NULL
1390,IS NULL
1391,IS NULL
1392,Competitor
1393,Competitor
1394,IS NULL
1395,IS NULL
1396,IS NULL
1397,IS NULL
1398,Price
1399,IS NULL
1400,IS NULL
1401,IS NULL
1402,Competitor
1403,IS NULL
1404,IS NULL
1405,IS NULL
1406,IS NULL
1407,IS NULL
1408,Competitor
1409,IS NULL
1410,IS NULL
1411,IS NULL
1412,IS NULL
1413,IS NULL
1414,Competitor
1415,Competitor
1416,IS NULL
1417,IS NULL
1418,IS NULL
1419,IS NULL
1420,IS NULL
1421,Product quality
1422,Client service
1423,IS NULL
1424,IS NULL
1425,Price
1426,IS NULL
1427,IS NULL
1428,IS NULL
1429,IS NULL
1430,IS NULL
1431,Other
1432,Other
1433,IS NULL
1434,Client service
1435,Product quality
1436,IS NULL
1437,IS NULL
1438,IS NULL
1439,IS NULL
1440,IS NULL
1441,IS NULL
1442,IS NULL
1443,IS NULL
1444,IS NULL
1445,IS NULL
1446,Competitor
1447,IS NULL
1448,IS NULL
1449,IS NULL
1450,Client service
1451,IS NULL
1452,IS NULL
1453,IS NULL
1454,IS NULL
1455,IS NULL
1456,Product quality
1457,IS NULL
1458,Client service
1459,Product quality
1460,IS NULL
1461,Product quality
1462,IS NULL
1463,IS NULL
1464,IS NULL
1465,IS NULL
1466,Other
1467,IS NULL
1468,IS NULL
1469,IS NULL
1470,IS NULL
1471,IS NULL
1472,IS NULL
1473,IS NULL
1474,Product quality
1475,IS NULL
1476,IS NULL
1477,IS NULL
1478,Client service
1479,IS NULL
1480,IS NULL
1481,Product quality
1482,Other
1483,IS NULL
1484,IS NULL
1485,IS NULL
1486,IS NULL
1487,IS NULL
1488,IS NULL
1489,IS NULL
1490,Other
1491,IS NULL
1492,IS NULL
1493,Competitor
1494,IS NULL
1495,IS NULL
1496,IS NULL
1497,Competitor
1498,Competitor
1499,Client service
1500,IS NULL
1501,IS NULL
1502,IS NULL
1503,IS NULL
1504,IS NULL
1505,IS NULL
1506,IS NULL
1507,IS NULL
1508,IS NULL
1509,IS NULL
1510,Other
1511,IS NULL
1512,IS NULL
1513,Price
1514,Price
1515,IS NULL
1516,IS NULL
1517,IS NULL
1518,IS NULL
1519,IS NULL
1520,IS NULL
1521,Client service
1522,IS NULL
1523,IS NULL
1524,IS NULL
1525,IS NULL
1526,IS NULL
1527,IS NULL
1528,Product quality
1529,IS NULL
1530,Client service
1531,IS NULL
1532,IS NULL
1533,Competitor
1534,IS NULL
1535,IS NULL
1536,IS NULL
1537,IS NULL
1538,Product quality
1539,IS NULL
1540,IS NULL
1541,IS NULL
1542,IS NULL
1543,IS NULL
1544,IS NULL
1545,IS NULL
1546,IS NULL
1547,IS NULL
1548,IS NULL
1549,Competitor
1550,IS NULL
1551,IS NULL
1552,Product quality
1553,IS NULL
1554,IS NULL
1555,IS NULL
1556,IS NULL
1557,IS NULL
1558,IS NULL
1559,Product quality
1560,IS NULL
1561,IS NULL
1562,IS NULL
1563,IS NULL
1564,IS NULL
1565,Competitor
1566,IS NULL
1567,IS NULL
1568,IS NULL
1569,IS NULL
1570,IS NULL
1571,IS NULL
1572,IS NULL
1573,IS NULL
1574,IS NULL
1575,IS NULL
1576,IS NULL
1577,IS NULL
1578,IS NULL
1579,Competitor
1580,IS NULL
1581,IS NULL
1582,IS NULL
1583,IS NULL
1584,IS NULL
1585,Client service
1586,Client service
1587,IS NULL
1588,IS NULL
1589,Client service
1590,IS NULL
1591,IS NULL
1592,IS NULL
1593,Other
1594,IS NULL
1595,IS NULL
1596,IS NULL
1597,IS NULL
1598,IS NULL
1599,IS NULL
1600,Product quality
1601,IS NULL
1602,Price
1603,IS NULL
1604,IS NULL
1605,IS NULL
1606,IS NULL
1607,IS NULL
1608,Other
1609,IS NULL
1610,IS NULL
1611,IS NULL
1612,IS NULL
1613,IS NULL
1614,IS NULL
1615,IS NULL
1616,Competitor
1617,IS NULL
1618,Competitor
1619,Competitor
1620,IS NULL
1621,IS NULL
1622,IS NULL
1623,Competitor
1624,IS NULL
1625,IS NULL
1626,IS NULL
1627,IS NULL
1628,Other
1629,IS NULL
1630,IS NULL
1631,IS NULL
1632,Other
1633,IS NULL
1634,IS NULL
1635,IS NULL
1636,IS NULL
1637,Competitor
1638,IS NULL
1639,IS NULL
1640,Competitor
1641,IS NULL
1642,Product quality
1643,IS NULL
1644,IS NULL
1645,IS NULL
1646,IS NULL
1647,Product quality
1648,IS NULL
1649,Other
1650,Client service
1651,IS NULL
1652,IS NULL
1653,IS NULL
1654,Other
1655,IS NULL
1656,IS NULL
1657,IS NULL
1658,Product quality
1659,Other
1660,IS NULL
1661,IS NULL
1662,IS NULL
1663,IS NULL
1664,IS NULL
1665,IS NULL
1666,IS NULL
1667,IS NULL
1668,Price
1669,IS NULL
1670,Other
1671,IS NULL
1672,IS NULL
1673,IS NULL
1674,IS NULL
1675,Client service
1676,Other
1677,IS NULL
1678,IS NULL
1679,IS NULL
1680,IS NULL
1681,IS NULL
1682,IS NULL
1683,IS NULL
1684,Product quality
1685,IS NULL
1686,IS NULL
1687,Client service
1688,IS NULL
1689,Competitor
1690,IS NULL
1691,IS NULL
1692,IS NULL
1693,IS NULL
1694,IS NULL
1695,Product quality
1696,Other
1697,IS NULL
1698,IS NULL
1699,IS NULL
1700,IS NULL
1701,Competitor
1702,IS NULL
1703,IS NULL
1704,IS NULL
1705,IS NULL
1706,Competitor
1707,IS NULL
1708,Client service
1709,Client service
1710,IS NULL
1711,Client service
1712,IS NULL
1713,IS NULL
1714,IS NULL
1715,IS NULL
1716,IS NULL
1717,IS NULL
1718,Client service
1719,Product quality
1720,IS NULL
1721,IS NULL
1722,IS NULL
1723,IS NULL
1724,Client service
1725,Price
1726,IS NULL
1727,IS NULL
1728,Competitor
1729,IS NULL
1730,IS NULL
1731,IS NULL
1732,IS NULL
1733,IS NULL
1734,IS NULL
1735,IS NULL
1736,IS NULL
1737,Competitor
1738,Competitor
1739,IS NULL
1740,Competitor
1741,IS NULL
1742,IS NULL
1743,IS NULL
1744,IS NULL
1745,IS NULL
1746,IS NULL
1747,IS NULL
1748,IS NULL
1749,IS NULL
